tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550462670353494016,t_nathan95,1420075502,Prediction: PayPal post-spinoff and $PAY are no longer independent companies. They are bought by $GOOGL $V or $MA to compete with $AAPL pay,0,0,0
550462935932608512,StocksThatDoubl,1420075565,http://BiloSelhi.com subscribers alerted to 10-250% gain options. JOIN NOW $QQQ $AAPL ,0,0,0
550463153499561984,BeMyMBA,1420075617,Whoa! @WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1Acvuo6 $AMZN,0,0,0
550463776437174272,The_Dumb_Money,1420075766,"$goog is roughly fairly valued, not a buy or sell.",0,0,0
550464081224663040,ShowDreamCar,1420075838,$GM $TSLA: Volkswagen Pushes 2014 Record Recall Tally Higher VLKAY GM https://pic.twitter.com/Pp3VUzGInR @StockNewsWires http://growword.com/2015/01/01/0246.html…,0,0,0
550465114764083200,AppleNewsAAPL,1420076085,"$AAPL Apple's iTunes Connect open, 2014 app deals ending http://bit.ly/1toOLO1 @MaximumPenny",0,0,0
550465282012348417,TyShrop,1420076125,Can't update my iPad because of this... Apple sued for shrinking storage space on 16GB devices thanks to iOS 8 $AAPL,0,0,0
550465831218712576,JaredLeClaire15,1420076255,"$AAPL is up nearly 20% post 7:1 split on June 9, 2014.",0,0,0
550465988442214400,valuewalk,1420076293,$MU $AAPL $SUNE Propel Greenlight To 9% Return In 2014 http://valuewalk.com/2014/12/apple-micron-sune-greenlight/… $MRVL $GLD,0,0,4
550466341342543873,jferrell323,1420076377,"Weird, bc we signed up for Prime “@WSJ: Jeff Bezos lost $7.4 billion in Amazon's worst year since 2008: http://on.wsj.com/1Acvuo6 $AMZN”",0,0,0
550466497655877633,PBratbyOfficial,1420076414,"Trailing Stop taken out on my $GOOGL #trade taking my locked in profits, Read My Full Trade Diary for ALL to view http://ow.ly/GDYGz",0,0,0
550466514487635969,caroltheva,1420076418,Get started in the markets with this Intro course http://bit.ly/IntroFin $AMZN $FB $TWTR,0,0,0
550466516538630147,t_nathan95,1420076419,Investment Themes: The american consumer is confident again $AAPL $V $PAY $MA $AXP $UA $M $TJXC $PVH $GIII $DIS,0,0,0
550466945061908482,The_Dumb_Money,1420076521,"IMHO, $MSFT shockingly remains MILDLY undervalued",1,0,0
550467140688838656,andrewlabutka,1420076568,"@A_TRON3000 An idiot could run $AMZN at a profit, but only Bezos could run it at a loss. #ThatsACompliment",0,0,0
550467297605713920,roadrunnergreg,1420076605,"World’s 400 Richest People Add $92-B In 2014: World’s 400 Richest People Add $92-B In 2014 $AMZN, $BABA, $BX, ... http://tinyurl.com/ne9rgyc",0,0,0
